Transaction_ID,Registration_ID,Amount_Paid_GHS,Payment_Timestamp,Payment_Channel
TXN-00010536,NR-4291-25,258.77,2022-12-31 08:21:51,MTN MoMo
TXN-00011409,CR-5436-15,244.62,2020-09-01 21:29:13,Telecel Cash
TXN-00033276,GX-0541-18,489.24,2021-07-31 18:40:17,MTN MoMo
TXN-00039284,UW-8758-16,312.7,2021-04-18 23:07:00,Telecel Cash
TXN-00049681,UW-7031-22,132.81,2021-10-12 04:38:27,MTN MoMo
TXN-00016124,NR-1649-20,305.77,2023-08-19 19:37:31,MTN MoMo
TXN-00028490,ORPHAN-90426-XX,322.11,2023-06-07 21:43:05,MTN MoMo
TXN-00038516,GN-9533-19,346.38,2021-01-08 09:11:17,e-Levy Portal
TXN-00032641,GC-0393-23,0.0,2020-05-31 20:53:07,e-Levy Portal
TXN-00001078,GT-0042-17,555.16,2023-12-11 05:47:52,e-Levy Portal
TXN-00048097,VR-5404-24,457.53,2020-05-18 06:58:34,MTN MoMo
TXN-00027840,GN-1994-25,367.56,2024-09-22 04:27:38,Telecel Cash
TXN-00004588,ORPHAN-96394-XX,547.68,2021-03-21 00:28:11,MTN MoMo
TXN-00019176,GT-0564-21,368.62,2022-07-31 08:26:57,MTN MoMo
TXN-00011527,NR-6016-18,494.31,2024-09-01 10:08:24,Telecel Cash
TXN-00040291,NR-5958-15,364.49,2024-06-28 12:41:35,AT Money
TXN-00013582,WR-3132-20,247.38,2020-09-21 11:15:02,MTN MoMo
TXN-00037237,BA-2075-24,389.39,2022-01-23 19:28:05,Bank Branch
TXN-00003778,GX-4239-17,412.99,2022-10-14 23:40:15,e-Levy Portal
TXN-00042577,GC-0182-18,423.46,2024-09-20 10:14:46,MTN MoMo
TXN-00034290,NR-7609-17,68.25,2025-05-23 15:09:42,MTN MoMo
TXN-00038715,VR-0111-18,366.9,2022-09-24 06:35:21,Bank Branch
TXN-00027232,GW-7372-20,321.84,2022-01-22 21:07:20,Bank Branch
TXN-00010473,GX-2075-17,0.0,2024-10-23 13:54:15,MTN MoMo
TXN-00037495,ORPHAN-92973-XX,264.28,2020-09-20 18:50:56,MTN MoMo
TXN-00014292,GC-8366-17,-282.3,2024-07-13 19:18:29,MTN MoMo
TXN-00023474,ORPHAN-92637-XX,546.55,2023-03-21 23:59:21,Telecel Cash
TXN-00034967,ER-0047-22,104.96,2025-02-15 11:18:07,Telecel Cash
TXN-00008755,AS-1733-15,346.49,2023-06-25 12:38:20,MTN MoMo
TXN-00000914,ORPHAN-93293-XX,385.18,2022-10-30 11:30:48,MTN MoMo
TXN-00012630,GS-8193-17,134.23,2022-04-17 14:09:25,MTN MoMo
TXN-00042468,GS-9729-18,362.4,2023-05-23 23:11:27,AT Money
TXN-00000039,GE-6546-15,440.03,2023-03-09 11:07:15,MTN MoMo
TXN-00022344,ER-6680-19,286.59,2025-02-22 02:05:04,AT Money
TXN-00022390,BA-5334-21,457.78,2021-03-14 10:25:49,MTN MoMo
TXN-00032700,GC-8016-19,418.16,2022-12-04 09:09:35,Bank Branch
TXN-00007818,GA-8423-24,390.98,2023-11-04 19:17:47,MTN MoMo
TXN-00035430,VR-9575-22,338.95,2022-08-12 09:25:28,Bank Branch
TXN-00007475,NR-5033-21,585.69,2020-01-23 09:36:51,e-Levy Portal
TXN-00027574,GN-5442-25,284.54,2021-01-23 00:04:55,e-Levy Portal
TXN-00029809,CR-1172-24,534.52,2020-05-15 02:36:43,MTN MoMo
TXN-00022882,UE-9827-24,674.72,2025-08-11 23:43:37,e-Levy Portal
TXN-00025333,GT-4360-25,138.36,2024-09-13 21:20:26,e-Levy Portal
TXN-00010378,GE-5208-16,-218.76,2020-08-19 08:11:55,e-Levy Portal
TXN-00005003,CR-6589-20,821.19,2023-03-03 09:38:00,e-Levy Portal
TXN-00032295,AS-1004-25,433.4,2020-08-07 10:39:15,Telecel Cash
